Target,Source
E2F1,ACTR2 
E2F1,ACTR5 
E2F1,ADA 
E2F1,ADAM8 
E2F1,ADD3 
E2F1,ADH6 
E2F1,AGER 
E2F1,AGPAT4 
E2F1,ALDH1A1 
E2F1,ALG12 
E2F1,ALKBH4 
E2F1,ALOX5AP 
E2F1,AMPD3 
E2F1,ANKRD26 
E2F1,ANXA13 
E2F1,AP1B1 
E2F1,BRD2 
E2F1,CBX5 
E2F1,CCNE1 
E2F1,CDC25A 
E2F1,DUSP4 
E2F1,E2F1 
E2F1,E2F3 
E2F1,MCM3 
E2F1,MCM5 
E2F1,PCNA 
E2F1,POLA2 
E2F1,RAD51 
E2F1,RB1 
E2F1,RBL1 
E2F1,UNG 
E2F1,ZNF654 
E2F1,ZNF614 
E2F1,ZNF292 
E2F1,ZNF268 
E2F1,ZNF26 
E2F1,ZNF165 
E2F1,ZMYM5 
E2F1,ZMYM2 
E2F1,ZMYM1 
E2F1,ZKSCAN5 
E2F1,ZFC3H1 
E2F1,ZCCHC8 
E2F1,ZC3H7A 
E2F1,YME1L1 
E2F1,YIPF1 
E2F1,XPNPEP1 
E2F1,WNT1 
E2F1,WDR45 
E2F1,WDR3 
E2F1,WDR25 
E2F1,WBP4 
E2F1,WBP1L 
E2F1,VPS4A 
E2F1,UTRN 
E2F1,USP1 
E2F1,UQCRB 
E2F1,UPF3B 
E2F1,UNC119 
E2F1,UMPS 
E2F1,UBP1 
E2F1,UBN1 
E2F1,TXNL1 
E2F1,TXNDC15 
E2F1,TUBA4A 
E2F1,TST 
E2F1,TSPAN6 
E2F1,TSC1 
E2F1,TRRAP 
E2F1,TRPM2 
E2F1,TRPC7 
E2F1,TRIT1 
E2F1,TRIM45 
E2F1,TPRKB 
E2F1,TP73 
E2F1,TOR1B 
E2F1,TOP2A 
E2F1,TOP1 
E2F1,TMOD3 
E2F1,TMEM47 
E2F1,TMEM186 
E2F1,TMEM132A 
E2F1,TK1 
E2F1,TIMP1 
E2F1,THOC6 
E2F1,THOC5 
E2F1,TGFB2 
E2F1,TFIP11 
E2F1,TBCC 
E2F1,TBC1D16 
E2F1,TAF6 
E2F1,TAF5L 
E2F1,TAF1C 
E2F1,SULT1A2 
E2F1,SUCLG1 
E2F1,STX3 
E2F1,STX11 
